Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Auto Add Item to Check,Option Name 1,Option Value 1,Enabled GHOST KITCHEN,Current Quantity GHOST KITCHEN,New Quantity GHOST KITCHEN,Stock Alert Enabled GHOST KITCHEN,Stock Alert Count GHOST KITCHEN,Price GHOST KITCHEN,Enabled Istanbul Mediterranean,Current Quantity Istanbul Mediterranean,New Quantity Istanbul Mediterranean,Stock Alert Enabled Istanbul Mediterranean,Stock Alert Count Istanbul Mediterranean,Price Istanbul Mediterranean,Modifier Set - Add Your Extras,Modifier Set - Choose Your Sauces (Served on the Side),Modifier Set - Choose Your Veggies,Modifier Set - Extra Pita,Modifier Set - Extra Protein
LFOVFYWDRHQNUQBEKATH7NRC,Mixed Döner (Beef&Lamb and Chicken Shawarma) Rice Bowl,Regular,,"Enjoy our delightful Mix Doner Rice Bowl, featuring fresh shaved Beef&Lamb and Chicken Doner (Shawarma) served over seasoned rice. Topped with crisp lettuce, juicy tomatoes, onion with parsley mix, and tangy pickles. Customize your bowl with a choice of signature sauces: House, White Tzatziki, Red Chili Garlic or Tahini .","RICE BOWLS (DAC5A7Y2QHF3CRRAJ3IYZKUQ), RICE BOWLS (IDO6JTCI633SZK6UIZRWWMFQ)",RICE BOWLS (DAC5A7Y2QHF3CRRAJ3IYZKUQ),Flavorful Mix Doner Rice Bowl - Savory Combination at Istanbul Mediterranean Las Vegas,"Experience the delightful combination of fresh shaved Beef & Chicken Doner (Gyro) served over seasoned rice in our Mix Doner Rice Bowl. Topped with fresh lettuce, juicy tomatoes, onion with parsley mix, and tangy pickles, customize it with House, White Tzatziki, Red Chili Garlic, Tahini (Tarator), or Shawarma Garlic Spread. Experience a burst of flavors and textures at Istanbul Mediterranean Las Vegas.",mix-doner-rice-bowl,,visible,Prepared food and beverage,,,,N,N,Y,Y,21.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
FM2O5UHH64IBA6UO72XZKXZV,Mixed Döner (Beef&Lamb and Chicken Shawarma) Salad Bowl,Regular,,"Experience the perfect fusion of flavors with our Mixed Döner Salad Bowl. Indulge in the harmonious blend of succulent beef and lamb döner shawarma, combined with tender chicken shawarma, all atop a fresh and vibrant salad. Elevate your mealtime with this protein-packed, satisfying dish that will tantalize your taste buds!",SALAD BOWLS,SALAD BOWLS,,,,,visible,Physical good,,,,N,N,Y,Y,21.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
UKBUCMATO3QD4A7HQID3H7YY,Mixed Döner (Beef&Lamb and Chicken Shawarma) Turkish Pita,Regular,,"Experience the savory explosion of flavors with our Mixed Döner Turkish Pita. This authentic Turkish cuisine offers the perfect blend of succulent beef&lamb and chicken, in a fresh Turkish pita. Indulge in the delicious taste of tradition with every bite of our carefully crafted Mixed Döner Turkish Pita.","TURKISH PITA (OKT4G6W4W4TM3CULMIE2Z342), TURKISH PITA (QOZWUEBYZ2KZA6Z4AHWDXN4T)",TURKISH PITA (OKT4G6W4W4TM3CULMIE2Z342),,,,,visible,Physical good,,,,N,N,Y,Y,17.68,,N,,N,,N,,,Y,,,,,,Y,,,,,,Y,Y,Y,N,Y
EZGAOJAKLVKYYV5DL5I2V33K,Moda Dubai Chocolate Bar (100gr.),,,"Dubai chocolate is a viral confectionery featuring a rich milk chocolate exterior and a filling of pistachio cream and kataifi (shredded phyllo dough). It's known for It's contrasting textures and flavors,  offering a sweet, nutty and crispy experience.",NEW ITEM,NEW ITEM,,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,11.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
ORGCD6HS4WRX2B6DNSWLW3LX,Mozzarella Sticks (5 Pieces),Regular,,"Five pieces of gooey mozzarella cheese wrapped in a golden, crispy coating, served with a side of tangy marinara sauce.","SIDES (P4UDVM47WMBWY7UAJDOH7BI5), SIDES (OFR7KEXQE2HAP57I3LVT5DUZ)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,5.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,Y,N,N,N
BQGHMY5CZ3MRFEFMVAU723LK,Onion Rings,Regular,,"Crispy golden-brown onion rings with a savory batter, fried to perfection.","SIDES (P4UDVM47WMBWY7UAJDOH7BI5), SIDES (OFR7KEXQE2HAP57I3LVT5DUZ)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,5.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,Y,N,N,N
YWUPKUASHTRDLQK7BV5LYKMN,Pita,Regular,,"Soft and warm fluffy pita bread, perfect for pairing with your favorite dips or fillings.",,,,,,,hidden,Prepared food and beverage,,,,N,N,Y,Y,13.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
ETRF3TJTPLTJEZSYKTS5FJPL,Rice Pudding,Regular,,"Rich and creamy rice pudding ,topped with a sprinkle of aromatic cinnamon.",DESSERT,DESSERT,,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,5.95,,N,,N,,Y,,,Y,,,,,,Y,,,,,,N,N,N,N,N
KKEOFWQEN52SYYNT6SBZ27DV,Side Beef&Lamb Döner (Shawarma),Regular,,"Succulent slices of beef and lamb are expertly seasoned and slow-cooked to perfection, served as a side dish to complement any meal.","SIDES (P4UDVM47WMBWY7UAJDOH7BI5), SIDES (OFR7KEXQE2HAP57I3LVT5DUZ)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,10.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,Y,N
WLUJCUERIPYMG2N6FGR2PN3U,Side Chicken Döner (Shawarma),Regular,,"Tender seasoned chicken shawarma, served as a side portion.","SIDES (P4UDVM47WMBWY7UAJDOH7BI5), SIDES (OFR7KEXQE2HAP57I3LVT5DUZ)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,10.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,Y,N
2IBXN7H477U5X5SAB5LMZFRK,Side Mixed (Beef&Lamb and Chicken) Döner (Shawarma),Regular,,"A generous mix of seasoned beef, lamb, and chicken, cooked to perfection on a vertical rotisserie. Served with a flavorful blend of spices.","SIDES (P4UDVM47WMBWY7UAJDOH7BI5), SIDES (OFR7KEXQE2HAP57I3LVT5DUZ)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,10.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,Y,N
L5QFD35EG2CDAR4MLBVYPC2O,Side Rice,Regular,,"Perfectly cooked rice with a fluffy texture and a fragrant aroma, enhanced by a subtle buttery flavor.","SIDES (P4UDVM47WMBWY7UAJDOH7BI5), SIDES (OFR7KEXQE2HAP57I3LVT5DUZ)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,5.00,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
ZVIHIMHZ2CSKF5E5EEEI223P,Side Sauce,Tzatziki,,"Our side sauce selection includes creamy tzasiki with yogurt and cucumber, spicy red chili garlic, our signature house blend, and nutty tahini.","SIDES (P4UDVM47WMBWY7UAJDOH7BI5), SIDES (OFR7KEXQE2HAP57I3LVT5DUZ)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,1.00,,N,,N,,N,Sauce On The Side,Tzatziki,Y,,,,,,Y,,,,,,N,N,N,N,N
ITZB7ZHJPWEE3CAKALF65PKH,Side Sauce,Tahini,,,"SIDES (P4UDVM47WMBWY7UAJDOH7BI5), SIDES (OFR7KEXQE2HAP57I3LVT5DUZ)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,,,,,1.00,,N,,,,N,Sauce On The Side,Tahini,Y,,,,,,Y,,,,,,N,N,N,N,N
VTI7GKA3MM6OSSHLHCKGIU2T,Side Sauce,House,,,"SIDES (P4UDVM47WMBWY7UAJDOH7BI5), SIDES (OFR7KEXQE2HAP57I3LVT5DUZ)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,,,,,1.00,,N,,,,N,Sauce On The Side,House,Y,,,,,,Y,,,,,,N,N,N,N,N
AAYEFMOI7TNWAPNF4XIHKICI,Side Sauce,Chili Garlic (Red),,,"SIDES (P4UDVM47WMBWY7UAJDOH7BI5), SIDES (OFR7KEXQE2HAP57I3LVT5DUZ)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,,,,,1.00,,N,,,,N,Sauce On The Side,Chili Garlic (Red),Y,,,,,,Y,,,,,,N,N,N,N,N
OW7IG2BMZMZVZDFNHGWIAI7S,Sprite,Regular,,,"DRINKS (2I7RGOAKS7B3EZAWQDGIRNHS), DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ)",DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,3.45,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
KYOE5YB2XRQTVFFUANPOEUZI,Stuffed Grape Leaves (4 Pieces),Regular,,"Tender grape leaves stuffed with a flavorful mixture of rice and fresh herbs, offering a delicate balance of savory and aromatic notes. Served in a portion of four pieces.","SIDES (P4UDVM47WMBWY7UAJDOH7BI5), SIDES (OFR7KEXQE2HAP57I3LVT5DUZ)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,5.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
TJPYHVH6T3YL25GN3UBTYMN6,Test,Regular,,,DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ),DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,0.50,,N,,N,,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N
OCPUX74OKRRT4GYWADLMLSI3,Tzatziki Dip,Regular,,"A refreshing blend of finely grated cucumber, minced garlic, and creamy Greek yogurt, perfect for dipping or spreading on your favorite dishes.","SIDES (OFR7KEXQE2HAP57I3LVT5DUZ), SIDES (P4UDVM47WMBWY7UAJDOH7BI5)",SIDES (P4UDVM47WMBWY7UAJDOH7BI5),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,6.95,,N,,N,,Y,,,Y,,,,,,Y,,,,,,N,N,N,N,N
A75V5DYLVIG2FEZDEOUZYXFA,Veggie Bowl,Regular,,"Savor the freshness in our veggie bowl, an inviting mix of crisp vegetables and tangy dressing, combining health with flavor",SALAD BOWLS,SALAD BOWLS,,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,9.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,Y,N,N,N
YCLXVO27T6OCUGIPNRBCBC2Q,Veggie Sandwich,Regular,,,,,,,,,hidden,Prepared food and beverage,,,,N,N,N,Y,7.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,Y,N,N,N
7E6MJHC2O6YXBF3K23O4XGG6,Water,Regular,,,"DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ), DRINKS (2I7RGOAKS7B3EZAWQDGIRNHS)",DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,2.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
UXGCZY35APINHMXXTBDWZB5V,Yogurt Drink (Ayran),Regular,,"A refreshing Turkish yogurt drink made from creamy, tangy yogurt, blended with water and a pinch of salt for a smooth, cooling beverage.","DRINKS (2I7RGOAKS7B3EZAWQDGIRNHS), DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ)",DRINKS (DYZ37LY5IHGWCOYR4M7Y6JEQ),,,,,visible,Prepared food and beverage,,,,N,N,Y,Y,4.95,,N,,N,,N,,,Y,,,,,,Y,,,,,,N,N,N,N,N
